SPCOD,FCOD,PCOD,PRCOD
SP01,F001,P001,PR01
SP01,F001,P001,PR02
SP07,F001,P033,PR58
SP03,F003,P001,PR01
SP03,F003,P001,PR08
SP04,F003,P002,PR08
SP01,F003,P004,PR05
SP02,F003,P006,PR07
SP04,F004,P001,PR01
SP04,F004,P001,PR06
SP04,F116,P001,PR01
SP05,F116,P001,PR01
SP05,F116,P001,PR03
SP04,F116,P001,PR04
SP05,F116,P002,PR02
SP05,F116,P002,PR04
SP04,F130,P005,PR06
SP08,F217,P001,PR58
SP05,F217,P004,PR03
SP01,F218,P001,PR08
SP01,F230,P001,PR01
SP04,F230,P002,PR01
SP05,F230,P003,PR02
SP06,F230,P033,PR02
SP04,F313,P002,PR04
SP04,F313,P002,PR05
SP05,F314,P001,PR03
SP05,F314,P003,PR07
SP07,F314,P033,PR03
SP07,F314,P033,PR07
SP02,F315,P001,PR01
SP05,F315,P003,PR03
SP05,F315,P006,PR01
SP07,F315,P033,PR01
SP05,F316,P003,PR02
SP04,F317,P002,PR07
SP05,F317,P007,PR04
SP08,F317,P008,PR58